sponsor_list,MAAPE
Keystone Poll,9.7
Mellman Group,12.3
Mason Dixon,18.3
Franklin Pierce College,18.8
Las Vegas Sun,20.3
Northern Arizona University,24.9
Montana State University,26
RKM Research,26.1
University of New Hampshire,27.4
KC Star,27.8
Albuquerque Journal,28.2
Deseret News,29.1
University of Connecticut,32.8
Texas Tech University,33.2
Bluegrass Poll Lexington Herald Leader/Courier Journal/WKYT TV/WHAS TV,33.5
Salt Lake Tribune,34.6
SurveyUSA,35
Dallas Morning News,39.5
Research 2000,43.1
Zogby Analytics,48.5
Rasmussen,54
SMS,63.2
Market Research Insight,67
Feldman Group,73.2
Hamilton Beattie Staff,75.7
University of North Carolina Ashville,91.7
Anzalone Liszt Grove Research,100.5
