sponsor_list,MAAPE
Rasmussen,8
AZ Daily Star,9.7
Basswood Research,11.4
Montana State University,15.5
Indiana State University,17.7
Zimmerman Associates,17.8
Inside Tucson Business,22.6
Tribune Review,24.5
Daily Herald,46
Northern Arizona University,50.1
Lycoming College,50.4
SurveyUSA,52.7
Cooper Secrest Associates,53.7
Feldman Group,55.9
Research 2000,65.4
Selzer Company,66.7
Mason Dixon,68.7
Greenberg Quinlan Rosner,70.1
University of New Hampshire,71.7
Chicago Tribune,72.9
OnPoint,75.4
American Research Group,76.9
Reuters,78.4
Press Gazette,78.5
Westhill Consulting,78.5
Goodwin Simon,78.5
Benenson Strategy,79.6
Glengariff Group,81
Bennett Petts Normington,81.8
RT Strategies/Constituent Dynamics,83
University of Connecticut,83.5
Myers Research Strategic Services,84.2
Zogby Analytics,84.6
Garin Hart Yang,85.4
Mercury Public Affairs,86.9
Keystone Poll,90.2
Anzalone Liszt Grove Research,92.3
Clemson University,94.8
Grove Insight,96.1
Momentum Analysis,96.9
Penn Schoen Berland,101.2
Siena College,102.6
Greg Smith Associates,106
Democracy Corps,106.3
Infomark Research,107.7
American Viewpoint,108.9
Mellman Group,109.1
Lake Research,109.4
McLaughlin Associates,109.8
Star Tribune,110.7
Susquehanna Polling Research,111.7
Hart Research,115.6
Abacus Data Polling,116.4
Global Strategy Group,116.7
Public Opinion Strategies,120.2
Tarrance Group,123.9
Albuquerque Journal,128.4
InsiderAdvantage,132.6
Aspen Times,142.9
Morning Call,146.4
Hamilton Beattie Staff,152.7
