sponsor_list,MAAPE
Salt Lake Tribune,7.9
WDAY,9.3
Rasmussen,10.7
Global Strategy Group,11.8
The Harris Poll,15.9
John Locke Foundation,17.9
Deseret News,19.4
WISHTV,21.7
Badger Poll,32.7
Indiana Manufacturing Association,33.7
ABC News,43.5
Tarrance Group,50.6
Mason Dixon,52.9
Indianapolis Star,54.8
KC Star,58
Research 2000,62
Zogby Analytics,66.6
SurveyUSA,72.1
Franklin Pierce College,78.5
Garin Hart Yang,78.5
University of New Hampshire,103.4
Suffolk University,109.7
Montana State University,117.7
American Research Group,136.6
Strategic Vision,156.7
Associated Press,156.9
Elway Poll,157
