pollster_list,MAAPE
University of California Berkeley,0
Braun Research Group,2.5
University of Massachusetts Lowell,4.2
University of New Hampshire,4.3
University of Mary Washington,5.1
Research Polling Inc,12.3
University of Utah,13.5
Roger Williams University,17.2
Goucher College,17.6
Gonzales Research,18.2
Roanoke College,18.7
Marquette University,19.2
Elway Research,19.3
Texas Lyceum,22.7
Muhlenberg College,23.2
Franklin Marshall College,23.2
Western New England University,24.5
MassINC Polling Group,26.9
Dan Jones Associates,27.8
Mason Strategies,31.2
Carroll Strategies,34.5
Mitchell Research Communications,36.6
Pan Atlantic SMS Group,39.2
Stockton University,40.6
Virginia Commonwealth University,43.5
Fairleigh Dickinson University,48.3
Rutgers University Eagleton,48.6
Christopher Newport University,48.6
Suffolk University,50.6
Remington Research,52.4
Siena College,54.4
Anderson Robbins Research/Shaw Company Research,55.6
Montana State University,56
Emerson College,56.9
University of Delaware,58.8
Monmouth University,59.9
University of Southern California,60.2
Public Policy Institute of California,61.5
YouGov,64.3
EPIC MRA,64.8
SurveyUSA,68.3
Quinnipiac University,69.3
Target Insyght,72.2
Rasmussen,74.5
Mason Dixon,74.6
Marist College,77.8
East Tennessee State University,78.5
Trafalgar Group,79.9
Gravis Marketing,82.7
Vanderbilt University,83
University of Texas,83.2
Dixie Strategies,86.3
Mellman Group,87.6
Social Science Research Solutions,89
Research America,92.6
Strategic Research Associates,94
Marketing Resource Group,98.3
OH Predictive Insights,98.8
WPAi,101.9
JMC Analytics,103.7
HarrisX,104.9
Middle Tennessee State University,109.2
Glengariff Group,111.4
Public Policy Polling,118.1
Fextel Inc,124.1
University of North Florida,128.4
Florida Atlantic University,145.1
Cherry Communications,148
