pollster_list,MAAPE
Selzer Company,1
Orion Strategies,1
Southern Media and Opinion Research,4.8
OpinionWorks,5.9
Western Wats Center,7.6
University of Arkansas,9.9
Sooner Poll,9.9
Landmark Communication,11.1
Siena College,11.9
Dan Jones Associates,11.9
Public Opinion Strategies,13.6
Fairleigh Dickinson University,14.2
Voter Survey Service,17.2
Columbus Dispatch,20.3
Social Science Research Solutions,21.9
Hendrix College,22.8
EPIC MRA,22.9
Susquehanna Polling Research,23.2
Behavior Research Center,23.4
University of Southern California,24.4
Zogby Analytics,24.8
Monmouth University,26.1
University of Cincinnati,27.5
McLaughlin Associates,29.7
Gonzales Research,32.2
InsiderAdvantage,33.5
TNS Global,33.7
Marketing Resource Group,34.9
Clarus Research Group,35
Winthrop University,35.8
University of South Florida Polytechnic,35.9
Public Policy Institute of California,36.4
National Research Inc,38.3
Magellan Strategies,38.5
Florida Chamber Political Institute,38.9
Missouri State University,39.9
University of New Hampshire,40.6
Quinnipiac University,43.1
SurveyUSA,43.8
Mason Dixon,45.1
Suffolk University,46.3
University of Washington,46.4
Braun Research Group,51
Rasmussen,52.3
American Research Group,52.6
St Norbert College,53.4
Public Policy Polling,55.6
Field Poll,55.7
Opinion Research Corporation,56
Research 2000,59.2
Wenzel Strategies,59.2
Ipsos,59.8
Pulse Opinion Research/Rasmussen,61.3
Marist College,61.3
Southern Illinois University,78.5
Critical Insights,78.5
Market Shares Corp,80.9
We Ask America,83.1
Wilson Research Strategies,91.7
Fabrizio Lee Associates,92.4
Moore Information Group,99.1
Elway Research,104.3
Franklin Marshall College,104.6
Muhlenberg College,111.1
University of Wisconsin,111.1
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,116.6
