pollster_list,MAAPE
Tarrance Group/Lake Research Partners,8.7
Public Opinion Strategies/Greenberg Quinlan Rosner,32.2
Susan Pinkus/Interviewing Service of America Inc,46.6
Wirthlin Worldwide,51.4
Ipsos,51.5
Gallup,56.6
Pew Research,58.8
Zogby Analytics,62.1
Democracy Corps,66.5
CBS News Election Survey Unit,67.2
Princeton Survey Research Associates International,69.2
Hart Research Associates/Market Opinion Research,75.7
Growth from Knowledge,78.5
TNS Global,83.4
Opinion Dynamics,84.2
American Viewpoint,88.3
Public Opinion Strategies,102.7
Marist College,112.4
