pollster_list,MAAPE
Growth from Knowledge,38.4
George Washington University,55
ABT Associates,58.2
Social Science Research Solutions,59.8
Anderson Robbins Research/Shaw Company Research,65.5
Pew Research,72.3
Hart Research Associates/Public Opinion Strategies,73.7
Marist College,76
Opinion Research Corporation,76.4
Public Policy Polling,78.3
Selzer Company,78.5
Quinnipiac University,81.2
Rasmussen,85.4
Greenberg Quinlan Rosner,86.6
Gallup,90.1
Princeton Survey Research Associates International,92.4
