pollster_list,MAAPE
George Washington University,40.5
Public Opinion Strategies,40.5
Ipsos,85
Gallup,114.2
Democracy Corps,116.2
Pew Research,116.7
Princeton Survey Research Associates International,119.3
Public Policy Polling,123
Opinion Dynamics,129.3
ABT Associates,131
Opinion Research Corporation,132
Growth from Knowledge,136.2
TNS Global,139.7
Public Opinion Strategies/Greenberg Quinlan Rosner,140.9
Financial Dynamics,142.3
Harvard University,142.3
Quinnipiac University,142.9
McLaughlin Associates,143.5
Rasmussen,147.3
