pollster_list,MAAPE
George Washington University,7.1
The Harris Poll,14
Hart Research Associates/Public Opinion Strategies,15.9
Anderson Robbins Research/Shaw Company Research,20.2
Public Policy Polling,20.9
Gallup,22.8
Marist College,25.3
Monmouth University,26.4
Emerson College,27.5
Public Opinion Strategies,27.8
Ipsos,28.7
Suffolk University,32.3
Quinnipiac University,32.3
YouGov,33.8
Pew Research,34.2
TechnoMetric  Institute of Policy Politics,34.4
ABT Associates,36.5
Social Science Research Solutions,39
Rasmussen,45.3
Selzer Company,65.1
