sponsor_list,MAAPE
Chicago Sun Times,0
Paul Simon Public Policy Institute,0
Oregonian,2.7
News 7,6.2
Dartmouth College,6.2
Boston Globe,8.3
WBUR,9.7
Montana State University,10.6
Fairleigh Dickinson University,11.1
Pan Atlantic SMS Group,12.1
Western New England University,12.4
Fox 2 Detroit,15
Winthrop University,16.1
Star Tribune,19.1
WBZ,19.2
Monmouth University,20.7
Palmetto Politics Poll,20.7
Bangor Daily News,22.4
News 9/News 6,22.9
Des Moines Register,23
Portland Press Herald,23.1
Michigan Information Research Service/Governmental Consultant Services Inc,23.8
Honolulu Civil Beat,24.3
JMC Analytics,25.5
KSTP,28.1
Texas Tribune,29.1
Sun Times,29.1
Detroit News,30.9
University of New Orleans,31.7
Texas Lyceum,32.6
Richard Stockton College,33.9
Nielson Brothers Polling,36.1
Albuquerque Journal,37.6
EPIC MRA,40
CBS News/New York Times,42.3
Maine Peoples Resource Center,43.1
InsiderAdvantage,45.7
Marketing Resource Group,48.7
University of Arkansas,49.3
Theing Company,51.6
Argus Leader/KELO TV,51.8
Rasmussen,52.9
Charleston Daily Mail,53.1
Denver Post,53.3
Reuters,54
SurveyUSA,54.2
Vanguard Public Affairs/Denno Research,54.9
Atlanta Journal Constitution,55
Boston Herald,56.1
Magellan Strategies,64
WAFB/Fox 8/Raycom,64.2
Chicago Tribune,64.8
Gravis Marketing,65.3
We Ask America,65.8
Lambert Edwards Associates/Denno Research,65.8
Harper Polling,66.6
Western Kentucky University,67.9
Remington Research,68.4
Impact Management Group,68.7
University of Delaware,69.8
Wenzel Strategies,71.5
Loras College,72.1
High Point University,72.2
Talk Business and Politics,72.3
Des Moines Register/Bloomberg News,72.3
Mitchell Research Communications,72.3
Public Policy Polling,72.4
Consumer Energy Alliance,72.9
Courier Journal,75.2
Fox News,75.5
NBC News,75.7
Suffolk University,76.2
Quinnipiac University,76.3
USA Today,76.7
Purple Strategies,78.5
CNN,79
WPAi,79.4
YouGov,79.7
WMUR,81.9
New England College,82.2
WSB TV,83.2
Independent Womens Voice,87
WRBL/Ledger Enquirer/PMB Broadcasting,87.1
New York Times/Kaiser,88
Daily Caller,88.3
Vox Populi Polling,90.1
American Research Group,91.3
Civitas Institute,100.6
Opinion Research Corporation,100.9
WFB,118.3
Ivan Moore Research,130.9
American Insights,142.7
University of Mary Washington,148.4
Christopher Newport University,150.1
Roanoke College,153
Hampton University,153.5
