sponsor_list,MAAPE
Columbus Dispatch,1
Siena College,4.6
KATU,5.2
Landmark Communication,5.8
University of New Orleans,6.7
Paul Simon Public Policy Institute,7.3
Western Kentucky University,9.6
University of Washington,11.1
Southern Media and Opinion Research,13.2
Utah Policy,14.7
University of North Florida,15.4
Des Moines Register,17.6
Fox 5 Atlanta,19.6
Washington Post,19.6
OpinionWorks,19.6
Landmark Communication/Rosetta Stone Communications,20
JMC Analytics,20.5
Dixie Strategies,21.7
Heat Street,23.3
Talk Business and Politics,23.3
Goucher College,23.5
Elway Poll,24.3
WSB TV,26.9
Mason Dixon,30
Vermont Public Radio,30.2
WRAL,31.4
Fox 8,32.2
Opinion Savvy,32.4
KSN News,32.5
WXIA,33.5
High Point University,34.9
University of Denver,38.4
Florida Atlantic University,39.3
SurveyUSA,42.7
Florida Chamber of Commerce,44.8
St Louis Post Dispatch,48.8
News 8 NOW Las Vegas,49.5
Nielson Brothers Polling,51.4
Atlanta Journal Constitution,51.4
Civitas Institute,53.7
Loras College,55.3
Fox 13,58
CNN,58.2
Behavior Research Center,60.8
Suffolk University,61
Bay News 9,61.7
Emerson College Poll,62.4
Public Policy Polling,63.6
Bloomberg News,63.9
Harper Polling,64.8
Quinnipiac University,65.6
Fox News,67.8
Morning Call,68.5
New York Times,70.3
Remington Research,71.2
CBS News,72
Elon University,72.5
Monmouth University,73.8
Merrill Research International,74.5
WTHR/Howey Politics Indiana,74.7
Keating Research,74.9
NBC News/Wall Street Journal,76
Las Vegas Review Journal,80
Gravis Marketing,80.2
Fort Hays St University,83.8
Mercyhurst University,89.5
Rocky Mountain PBS,90.8
KTNV,92.4
University of Nevada Las Vegas,95.6
Missouri Scout,98.3
WISHTV,101.7
Magellan Strategies,102.1
Susquehanna Polling Research,116.6
Marquette University,122.6
Franklin Marshall College,129
Wisconsin Public Radio,133.8
WBUR,135.9
News 7,136.6
Boston Herald,140.6
Dartmouth College,148
WMUR,148.8
Boston Globe,150.9
WBZ,152.3
American Research Group,152.9
