sponsor_list,MAAPE
Fairleigh Dickinson University PublicMind,1
USA Today,2.6
Ethridge Associates,10
Quinnipiac University,11.1
Des Moines Register,13.4
KCCI,13.4
WHOTV,13.4
Carolina Poll,18.4
Dallas Morning News,24.5
Scripps Howard Foundation,24.5
American Research Group,29.5
Opinion Research Corporation,34.5
SurveyUSA,48.8
Mason Dixon,63.5
NBC 5,64.4
St Louis Post Dispatch,78.5
Zogby Analytics,86.4
University of New Hampshire,87.3
Denver Post/9 News,87.8
Concord Monitor,88.7
Atlanta Journal Constitution/WSB TV,96.2
St Paul Pioneer Press,104.6
Rocky Mountain News/CBS 4,106.8
CNN/USA Today,109.4
WNDS,113.3
Research 2000,120.8
Minneapolis Star,127.4
KC Star,129.6
KELOLAND Media Group,153.6
