sponsor_list,MAAPE
Associated Press,38.4
GW Battleground Poll,55
CBS News/New York Times,55.2
ABC News/Washington Post,58.2
CBS News,62.5
Fox News,65.5
NBC News/Wall Street Journal,73.7
USA Today,74.6
Pew Research,74.7
McClatchy,76
CNN,76.4
Public Policy Polling,78.3
Bloomberg News,78.5
Quinnipiac University,81.2
Rasmussen,85.4
National Public Radio/Democracy Corps/Resurgent Republic,86.6
Gallup,90.1
Reason,95.3
