sponsor_list,MAAPE
CNN/USA Today,68.9
Associated Press,85.4
GW Battleground Poll,95.6
Newsweek,102.1
NBC News/Wall Street Journal,110.6
Democracy Corps,116.4
CBS News,116.7
Rasmussen,118.1
Gallup,124.1
The Battleground Poll,125.8
CBS News/New York Times,127.3
Zogby Analytics,135
Time,139.5
CNN/Time,140.6
Los Angeles Times,145.1
