sponsor_list,MAAPE
GW Battleground Poll,40.5
Public Opinion Strategies,40.5
Reuters,74.1
McClatchy,90.4
Newsweek,105.1
USA Today,109.8
Gallup,114.7
Democracy Corps,116.2
Pew Research,116.7
Public Policy Polling,123
Fox News,129.3
Time,131
CNN,132
Associated Press,136.2
ABC News/Washington Post,139.7
National Public Radio,140.9
National Journal,142.3
Washington Post,142.3
Quinnipiac University,142.9
McLaughlin Associates,143.5
Rasmussen,147.3
Bloomberg News,147.5
