sponsor_list,MAAPE
GW Battleground Poll,7.1
Harvard University,14
NBC News/Wall Street Journal,15.9
Fox News,20.2
Public Policy Polling,20.9
National Public Radio/PBS,21.9
Gallup,22.8
Monmouth University,26.4
Emerson College Poll,27.5
CNBC,27.8
Marist College,28.3
Reuters,28.7
USA Today,32.3
Quinnipiac University,32.3
Economist,33.8
Pew Research,34.2
Investors Business Daily,34.4
ABC News/Washington Post,36.5
CNN,39
National Public Radio,40.5
Rasmussen,45.3
Grinnell College,65.1
