sponsor_list,MAAPE
The Battleground Poll,8.7
Ipsos,8.7
CNN/Time,29.7
National Public Radio,32.2
Bloomberg News,45.8
Los Angeles Times,46.6
Wirthlin Worldwide,51.4
Pew Research,58.8
Cook Political Report,60.1
Zogby Analytics,62.1
Democracy Corps,66.5
CNN/USA Today,66.7
CBS News/New York Times,67.2
NBC News/Wall Street Journal,75.7
Associated Press,78.5
Newsweek,78.6
ABC News/Washington Post,83.4
Fox News,84.2
American Viewpoint,88.3
Public Opinion Strategies,102.7
Marist College,112.4
