sponsor_list,MAAPE
Sayfie Review/InsiderAdvantage,1
Birmingham News,2.6
Fox Chicago,2.6
Hart Research,8.7
Central Surveys,8.7
Cooper Secrest Associates,10
St Paul Pioneer Press,11.6
Abacus Data Polling,13
WAFB 9 News,15.4
Grinnell College,18.4
WHOTV,24.5
Creators Syndicate,24.5
Datamar Analytics,28.4
Old Dominion University,29.5
Indiana Manufacturing Association,29.7
Forum Communications Company,30.4
Ipsos,31.1
University of Wisconsin,32.2
Davis Hibbitts Midghall Research,35.9
BP&B,38.8
Atlanta Journal Constitution,39.4
Washington Post/Kaiser Family Foundation,40.5
Aloha Vote,45.8
CNN/Time,48.8
Illinois Wesleyan University,48.8
Arkansas State University,51.4
Fairleigh Dickinson University PublicMind,54.1
Myers Research Strategic Services,54.2
Orlando Sentinel,54.3
Denver Post/9 News,54.4
KC Star,55.1
WWBT,55.2
KGWTV,55.5
Fleming Associates,56.6
Opinion Analysts,56.8
Oklahoman,57.1
NECN,57.3
Tampa Tribune,57.8
Market Research Insight,58.8
Honolulu Star Advertiser/News 8,58.8
Talk Business and Politics,58.8
Tarrance Group/Lake Snell Perry Associates,59.5
KCTS 9,60
National Republican Senatorial Committee,60.1
KSNV,60.4
Nevada Independent,60.4
Arizona State University,61.7
Star Ledger,63.4
Opinion Research Corporation,63.8
Badger Institute,63.9
YouGov,64.4
University of Minnesota,65
Brown University,65.1
RNN,65.5
HighGround/Moore Information Group,66.4
Lake Research,66.5
University of Akron,66.5
University of New Orleans,66.6
KSN News,66.7
Strategies 360,66.8
American Research Group,66.8
University of Delaware,66.9
Plain Dealer,67
University of Nevada Las Vegas,67
Baselice Associates,67.2
Marquette University,67.3
NBC News/Wall Street Journal,67.3
Southern Media and Opinion Research,67.6
Resurgent Republic,67.7
Target Insyght,67.7
USA Today,67.7
WSVN,67.8
Bangor Daily News,67.9
Quad City Times,68
Badger Poll,68.3
Los Angeles Times,68.3
CT Capitol Report,68.3
McLaughlin Associates,68.3
Rocky Mountain News,68.4
ABC News,68.4
Glengariff Group,68.6
Minnesota Public Radio,68.8
Philadelphia Inquirer,68.8
NBC News,68.8
Ward Research,68.9
Ohio Right to Life,68.9
University of Massachusetts Lowell,68.9
WFAA,69
Gonzales Research/Arscott Research Communications,69.1
Guardian,69.1
Fabrizio Lee Associates,69.1
News 9/News 6,69.2
KOBT,69.2
CBS News,69.2
Politico/InsiderAdvantage,69.3
Suffolk University,69.4
Hamilton Campaigns,69.5
WGBH,69.6
Gonzales Research,69.7
Wisconsin Public Radio,69.8
Wenzel Strategies,69.8
Billings Gazette,69.9
Carolina Poll,70
Chicago Tribune,70
Project New America,70.1
WISHTV,70.2
WDAY,70.3
Marist College,70.4
Impact Management Group,70.5
Mass Insight Survey Research Group/Opinion Dynamics,70.5
Harper Polling,70.5
Alabama Education Association,70.6
Southeastern Louisiana University,70.6
Miami Herald/St Petersburg Times,70.6
Tennessean,70.8
Michigan Information Research Service/Governmental Consultant Services Inc,70.9
Ohio Newspapers,71.5
Chicago Tribune/WGN,71.6
St Petersburg Times,71.7
Elway Poll,71.7
Arizona Republic,72
Los Angeles Times/Bloomberg News,72.1
Democracy Corps,72.4
CBS 11,72.4
SMS,72.5
News 7,72.6
Newsday,72.7
FM3 Research,72.8
High Point University,72.9
Tarrance Group,73.1
Courier Journal,73.1
KABC,73.2
University of Washington,73.2
Las Vegas Sun,73.2
Westhill Consulting,73.3
New York Times,73.3
Nielson Brothers Polling,73.4
Austin American Statesman,73.4
Western Kentucky University,73.6
New York Times/Kaiser Family Foundation,73.6
American Future Fund,73.6
Keating Research,73.7
WXIA,73.7
Star Tribune,73.8
Hearst Media Group,73.9
Rocky Mountain PBS,74.2
Benenson Strategy,74.3
Christian Science Monitor/Investors Business Daily,74.3
KOMO News,74.4
South Carolina Educational Television,74.5
Deseret News/KSL TV,74.5
Voter Consumer Research,74.6
AZ Daily Star,74.6
Richard Stockton College,74.6
Capital Survey Research Center,74.7
New England College,74.7
Alaska Dispatch,74.7
National Journal,74.8
Missouri Scout,74.8
Detroit News/WDIV,74.8
Remington Research,74.9
Clarus Research Group,75
University of Alabama Birmingham,75
Tribune Review,75.1
Lake Snell Perry,75.2
Boston Globe,75.2
Alaska Survey Research,75.2
Strategic Marketing Services,75.3
WPRI,75.3
Quinnipiac University,75.3
OnPoint,75.4
Arkansas News,75.7
Daily Kos,75.8
WBUR,75.9
Public Opinion Strategies/Greenberg Quinlan Rosner,76
Vanguard Public Affairs/Denno Research,76
Indianapolis Star,76.1
Dittman Research,76.2
Consumer Energy Alliance,76.3
Fox News,76.3
WFB,76.5
KGTV,76.6
Secure America Now,76.7
Knox News,76.8
Boston Herald,76.8
