sponsor_list,MAAPE
KC Star,1.3
Las Vegas Review Journal,11.4
Cooper Secrest Associates,12.7
Portland Research Group,12.7
Badger Poll,14.2
University of New Hampshire,15.5
University of Denver,15.6
Economist,16.2
Constituent Dynamics,17.7
University of Central Arkansas,17.8
Hart Research,18
WGBH,18.3
University of Akron,21.7
Opinion Research Corporation,22.6
Americans for Prosperity,22.9
Opinion Analysts,23.8
Mercury Public Affairs,24.5
TexasWatch Foundation,25
Arizona State University,25.7
Knox News,26
Clarus Research Group,26.4
Politico/GW Battleground Poll,26.5
Selzer Company,26.6
Brown University,26.8
Ohio Newspaper,27.4
Badger Institute,28.6
WWBT,29.3
Minnesota Star Tribune,30.9
CRG Research,31.2
Bluegrass Poll Lexington Herald Leader/Courier Journal/WKYT TV/WHAS TV,31.8
Strategies 360,32.2
Polimetrix,34.7
Fleming Associates,34.9
St Anselm College,35
KAET,36
Merrill Research International,36.4
Press Gazette,36.9
HHI,37
Birmingham News,38.6
Lake Research,38.9
Franklin Pierce College,40.5
University of Southern Alabama,40.7
University of Wisconsin,41
Infomark Research,41.4
Fairleigh Dickinson University PublicMind,42.4
American Viewpoint,42.5
The Atlantic,42.7
TechnoMetric  Institute of Policy Politics,43.1
Lan Grigsby,44.6
Central Surveys,44.7
Voter Consumer Research,45.6
Fox Chicago,45.9
Rocky Mountain News,45.9
Mansfield University,46.6
Ipsos,46.7
Baselice Associates,47.4
Old Dominion University,47.4
Mass Insight Survey Research Group,48
Arkansas News,48.1
Myers Research Strategic Services,49.1
CNN/Time,49.1
Public Opinion Strategies/Greenberg Quinlan Rosner,50.1
Blum Weprin Associates,50.3
University of Washington,50.4
NBC 4 NY/Wall Street Journal,50.7
Times Dispatch,51.1
Global Strategy Group,51.3
YouGov,51.5
KSNV,51.9
RNN,52.1
Michigan Information Research Service,52.6
University of Houston,52.7
Momentum Analysis,53
Honolulu Star Advertiser,54.1
Aspen Times,54.3
KABC,54.4
Rossman Group,54.6
Project New America,54.6
HighGround/Moore Information Group,54.7
Star Ledger,54.9
University of Minnesota,55.2
Abacus Data Polling,55.5
Social Science Research Solutions,55.7
Big Ten Battleground Poll,55.9
Aloha Vote,56.2
Goodwin Simon,56.7
Basswood Research,56.9
KCCI,57.6
Indiana Legislative Insight,57.7
Indiana State University,57.8
Hamilton Beattie Staff,58.9
Forum Communications Company,60.7
Reuters/CSPAN,61.9
Sun Sentinel,62.7
East Tennessee State University,62.7
Deseret News,62.8
Monmouth University,63.3
Plain Dealer,63.5
WSOC,63.7
KTUU,64.8
WAFB 9 News,64.8
Capital Survey Research Center,64.8
Lake Snell Perry,64.8
Merrimack College,64.8
WHYY,64.8
Mobile Register,64.8
Free Press,64.8
MPR News,64.8
Harrison Hickman,64.8
Miami Herald,64.8
Indiana Manufacturing Association,64.8
Democratic Senatorial Campaign Committee,64.8
Star Bulletin,64.8
National Republican Senatorial Committee,64.8
Sayfie Review/InsiderAdvantage,64.8
KOTV,64.8
Becker Institue,64.8
Hayride,64.8
Oklahoman,64.8
KGWTV,64.8
Granite State Poll,64.8
Creators Syndicate,64.8
Arkansas State University,64.8
Oregon State University,64.8
Tampa Tribune,64.8
BP&B,64.8
Harris Deville Associates,64.8
St Paul Pioneer Press,64.8
Minneapolis Star,64.8
Denver Post/9 News,64.8
University of Alabama Birmingham,64.8
Carolina Poll,64.8
Gainesville Sun,64.8
WNDS,64.8
Honolulu Star Advertiser/News 8,64.8
Atlanta Journal Constitution/WSB TV,64.8
Scripps Howard Foundation,64.8
University of Maryland,64.8
NECN,64.8
NBC 5,64.8
Orlando Sentinel,64.8
USA Polling Group,64.8
Honolulu Star Advertiser/KITV 4 News,64.8
Ward Research,64.8
KRC Communications Research,64.8
Illinois Wesleyan University,64.8
Ethridge Associates,64.8
Gonzales Research/Arscott Research Communications,64.8
WHOTV,64.8
Wirthlin Worldwide,64.8
Tarrance Group/Lake Snell Perry Associates,64.8
Reuters/MSNBC,64.8
Hotline Bullseye Poll,64.8
Washington Post/Kaiser Family Foundation,64.8
Emilys List,64.8
StrategyOne,64.8
Handgun Control Poll,64.8
National Public Radio/Kaiser Family Foundation/Kennedy School of Government,64.8
Fabrizio Lee Associates/McLaughlin Associates,64.8
Market Research Insight,65.1
Grinnell College,65.1
Hearst Argyle,65.3
University of Connecticut,65.3
Davis Hibbitts Midghall Research,65.3
Fox 13,65.3
Vox Populi Polling,65.3
Fort Hays St University,65.4
Talk Business and Politics,65.4
Tampa Bay Times/News 9/News 13,65.5
Nevada Independent,65.5
AZ Daily Star,65.6
CNN,65.7
Cincinnati Enquirer/Ohio News,65.8
KCTS 9,65.8
Virginian Pilot,65.9
Atlanta Journal Constitution,65.9
American Insights,66.3
Strategic Vision,66.3
Strategic Marketing Services,66.4
Datamar Analytics,66.6
Siena College,66.6
University of New Orleans,66.6
KSN News,66.7
American Research Group,66.8
University of Delaware,66.9
University of Nevada Las Vegas,67
Marquette University,67.3
NBC News/Wall Street Journal,67.3
Southern Media and Opinion Research,67.6
Resurgent Republic,67.7
Target Insyght,67.7
USA Today,67.7
WSVN,67.8
Bangor Daily News,67.9
Quad City Times,68
Los Angeles Times,68.3
CT Capitol Report,68.3
McLaughlin Associates,68.3
ABC News,68.4
Glengariff Group,68.6
Minnesota Public Radio,68.8
Philadelphia Inquirer,68.8
NBC News,68.8
Ohio Right to Life,68.9
University of Massachusetts Lowell,68.9
WFAA,69
Guardian,69.1
Fabrizio Lee Associates,69.1
News 9/News 6,69.2
KOBT,69.2
CBS News,69.2
Politico/InsiderAdvantage,69.3
Suffolk University,69.4
Hamilton Campaigns,69.5
Gonzales Research,69.7
Wisconsin Public Radio,69.8
Wenzel Strategies,69.8
Billings Gazette,69.9
Chicago Tribune,70
WISHTV,70.2
WDAY,70.3
Marist College,70.4
Impact Management Group,70.5
Mass Insight Survey Research Group/Opinion Dynamics,70.5
Harper Polling,70.5
Alabama Education Association,70.6
Southeastern Louisiana University,70.6
Miami Herald/St Petersburg Times,70.6
Tennessean,70.8
Michigan Information Research Service/Governmental Consultant Services Inc,70.9
Ohio Newspapers,71.5
Chicago Tribune/WGN,71.6
St Petersburg Times,71.7
Elway Poll,71.7
Arizona Republic,72
Los Angeles Times/Bloomberg News,72.1
Democracy Corps,72.4
CBS 11,72.4
SMS,72.5
News 7,72.6
Newsday,72.7
FM3 Research,72.8
High Point University,72.9
Tarrance Group,73.1
Courier Journal,73.1
Las Vegas Sun,73.2
Westhill Consulting,73.3
New York Times,73.3
Nielson Brothers Polling,73.4
Austin American Statesman,73.4
Western Kentucky University,73.6
New York Times/Kaiser Family Foundation,73.6
American Future Fund,73.6
Keating Research,73.7
WXIA,73.7
Star Tribune,73.8
Hearst Media Group,73.9
Rocky Mountain PBS,74.2
Benenson Strategy,74.3
Christian Science Monitor/Investors Business Daily,74.3
KOMO News,74.4
South Carolina Educational Television,74.5
Deseret News/KSL TV,74.5
Richard Stockton College,74.6
New England College,74.7
Alaska Dispatch,74.7
National Journal,74.8
Missouri Scout,74.8
Detroit News/WDIV,74.8
Remington Research,74.9
Tribune Review,75.1
Boston Globe,75.2
Alaska Survey Research,75.2
WPRI,75.3
Quinnipiac University,75.3
OnPoint,75.4
Daily Kos,75.8
WBUR,75.9
Vanguard Public Affairs/Denno Research,76
Indianapolis Star,76.1
Dittman Research,76.2
Consumer Energy Alliance,76.3
Fox News,76.3
WFB,76.5
KGTV,76.6
Secure America Now,76.7
Boston Herald,76.8
Public Opinion Strategies,76.9
Daily Caller,77
Texas Tribune,77
OH Predictive Insights,77.1
San Jose State University,77.3
ABC News/Washington Post,77.5
Mason Dixon,77.8
Marketing Resource Group,77.9
Clout Research,77.9
Franklin Marshall College,78.1
CBS News/New York Times,78.4
Palmetto Politics Poll,78.4
Lycoming College,78.5
Associated Industries of Florida,78.5
CNN/USA Today,78.5
Wall Street Journal,78.5
Texas Tech University,78.5
Rhode Island College,78.5
Research 2000,78.5
Field Poll,78.5
Team TelCom,78.5
Bernard Rappaport,78.5
Florida Times Union/InsiderAdvantage,78.5
WOIO,79.1
Loras College,79.3
Red Racing Hourse Elections,79.3
GW Battleground Poll,79.5
Newsweek/Daily Beast,79.7
Tampa Bay Times,80.2
Greenberg Quinlan Rosner,80.3
Portland Press Herald,80.3
WMUR,80.4
KFI/NBC 4,80.6
KSDK,80.8
CN2 News,80.9
Christopher Newport University,80.9
We Ask America,81
St Louis Post Dispatch,81.1
Ciruli Associates,81.2
Mercyhurst University,81.3
Stanford University,81.7
EPIC MRA,81.8
American Action Forum,81.9
Anzalone Liszt Grove Research,82
Chicago Sun Times,82
Victory Enterprises,82.1
Civitas Institute,82.9
Castleton State College,83
Charleston Daily Mail,83.1
WTHR/Howey Politics Indiana,83.1
Marshall University,83.3
Ivan Moore Research,83.5
NBC 10,83.5
Golden State Poll,83.8
University of Mary Washington,84
The Hill,84.1
Columbus Dispatch,84.1
OnSight Public Affairs/Keating Research,84.1
Dallas Morning News,84.2
Newsweek,84.2
Gravis Marketing,84.8
University of Tennessee,84.9
Washington Times,85.2
Stockton University,85.5
GOPAC Texas,85.6
Charlotte Observer,85.7
Sooner Poll,86
Neighborhood Research,86.1
Sunshine State News,86.3
Mitchell Research Communications,86.4
Saint Leo University,86.5
TargetPoint Consulting,86.6
Post Dispatch,86.6
Morning Call,86.7
Dakota Wesleyan University,86.9
Penn Schoen Berland,86.9
News Journal,87
Investors Business Daily,87.2
Salt Lake Tribune,87.5
KY3,87.6
Washington Post,87.7
Reno Gazette Journal,87.8
Texas Lyceum,87.8
Howey Politics Indiana,88
Gallup,88
Fox 12,88.3
Cromer Associates,88.4
Dixie Strategies,88.7
RT Strategies/Constituent Dynamics,89.1
Fairleigh Dickinson University,89.1
Gannett,89.4
University of California Berkeley,89.4
Utah Policy,89.5
WRAL,89.6
Mike Downs Center for Indiana Politics Purdue University,89.9
Critical Insights,90.1
Public Policy Institute of California,90.1
Fox 2 Detroit,90.3
S Media,90.4
National Public Radio,90.8
Trafalgar Group,91.1
Fox 5 Atlanta,91.4
Rutgers University Eagleton,91.6
TCPalm,91.7
Western New England University,91.8
Grove Insight,92
Harvard University,92.1
Muhlenberg College,92.2
American Conservative Union,92.3
Esquire/Yahoo News,92.3
WBZ,92.6
MetroNews,92.6
Sun Times,92.8
University of North Carolina Ashville,92.9
Cook Political Report,93.1
Foster McCollum White Associates/Baydoun Consulting,93.4
Keystone Poll,93.6
Colby College,94
Rasmussen,94.1
ABC 15,94.4
University of Texas,94.6
Harstead Strategy,94.9
Maine Peoples Resource Center,94.9
News 8 NOW Las Vegas,95
National Public Radio/PBS,95.1
National Public Radio/Democracy Corps/Resurgent Republic,95.3
WWL TV,95.6
KATU,95.8
Argus Leader/KELO TV,95.9
Idaho Politics Weekly,95.9
Indy Politics,96
Zimmerman Associates,96.1
Keating Research/Magellan Strategies Polling,96.1
VC Research,96.6
Cleveland Plain Dealer,96.7
Landmark Communication/Rosetta Stone Communications,96.7
Des Moines Register/Bloomberg News,96.9
Portland Tribune,97.2
Opinion Consultants,97.5
Bennett Petts Normington,97.7
Sacred Heart University,97.8
Goucher College,98.2
CNBC,98.2
Times Leader,98.3
Mark Blankenship Enterprises,98.3
CNN/WMUR,98.3
Oregon Public Broadcasting,98.4
St Cloud State University,98.5
HarrisX,98.8
The Harris Poll,98.9
Denver Post,99.2
WFAA/Belo,99.3
Concord Monitor,99.3
Emerson College Poll,99.3
FireDogLake Blog Poll,99.5
Roanoke College,99.5
Northern Arizona University,100.1
Cole Hargrave Snodgrass Associates,100.2
Zogby Analytics,100.3
McClatchy,100.6
Consumer Logic Research,100.8
Oregonian,100.8
WSMV,100.9
SurveyUSA,100.9
John Locke Foundation,101
North Dakota United Tranportation Union,101.1
Press Register,101.1
JMC Analytics,101.1
Albuquerque Journal,101.2
Mellman Group,101.3
WPAi,101.9
Wilson Research,102.2
KSTP,102.2
NBC Valley News,102.3
San Diego Union Tribune,102.6
Des Moines Register,103
West Chester University,103.2
Inside Tucson Business,104.3
Reason,104.3
Winthrop University,104.5
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,104.9
Feldman Group,105.3
Orion Strategies,105.4
Diageo Hotline Poll,105.8
WRBL/Ledger Enquirer/PMB Broadcasting,106
Public Policy Polling,106.3
Dan Jones Associates,107.7
Oregonian/KATU,107.7
St Pete Poll,108.7
Hartford Courant,108.9
Middle Tennessee State University,109.2
American Federation for Children,109.6
Time,109.9
Temple University,110.7
Hampton University,110.9
Telemundo 51,111.1
Moore Information Group,111.5
The Battleground Poll,111.7
KELOLAND Media Group,111.9
WNBC,112.1
Clemson University,112.1
Detroit Free Press,112.1
Rocky Mountain News/CBS 4,112.8
Thomas Partner Strategies,114
Bloomberg News,114.6
University of Arkansas,114.9
WSAZ,115.4
University of North Florida,116.4
University of Iowa,116.6
WCAX,116.7
Opinion Savvy,117.6
Retail Association of Nevada,117.7
ZiaPoll,117.7
Y2 Analytics,118.3
Reuters,118.6
WAFB/Fox 8/Raycom,118.9
Pan Atlantic SMS Group,119.1
Lambert Edwards Associates/Denno Research,120.1
KTNV,120.8
State House News,123
Greg Smith Associates,123.1
Wall Street Journal/Washington Post,123.9
ABC 30,125.7
Vanderbilt University,126.3
Bay News 9,128.3
Theing Company,129.3
WSB TV,130
Baltimore Sun,130.3
Garin Hart Yang,130.7
Hoffman Research,131.6
Virginia Commonwealth University,132
Ayres McHenry,132.6
Riley Research,134.4
Landmark Communication,135.3
Scripps Company,135.5
Vermont Public Radio,135.5
Inside Michigan Politcs,136.3
WCTV,138
KHOU/Houston Public Broadcasting,139.2
RKM Research,139.6
Los Angeles Times/KTLA,140.7
Paul Simon Public Policy Institute,141.8
Kitchens Group Research,141.9
Montana State University,142
Heat Street,142.2
Omaha World Herald,142.5
New York Times/Kaiser,142.7
Daily Herald,142.9
Florida Atlantic University,144.9
Fox 8,145.4
University of Massachusetts,147.1
Magellan Strategies,147.9
Florida Chamber of Commerce,148
Providence Journal/WPRI,148.4
NBC 4 NY,148.6
Fox Business,149.4
University of Cincinnati,149.5
Elon University,150.1
Utah Policy Center,150.8
News 13,151.2
Detroit News,151.4
Dartmouth College,151.6
Honolulu Civil Beat,151.8
Susquehanna Polling Research,152.3
Behavior Research Center,152.3
TEGNA Inc,152.3
Pew Research,152.4
WHEC,152.6
OpinionWorks,153
Associated Press,153.2
Purple Strategies,153.5
InsiderAdvantage,153.6
KUTV,154.1
Independent Womens Voice,154.2
Issues Pennsylvania,156.9
