sponsor_list,MAAPE
Western Kentucky University,5.7
Hoffman Research,6.1
Courier Journal,9.2
Boston Globe,10.9
News 9/News 6,11.1
Politico/GW Battleground Poll,12.1
University of Arkansas,19.2
Theing Company,20.9
San Diego Union Tribune,21.7
Monmouth University,22.7
Guardian,23
Newsday,24.1
University of Washington,25.5
Brown University,25.9
Mitchell Research Communications,29.2
ABC News,29.4
Chicago Tribune,29.9
University of Houston,31.7
Honolulu Civil Beat,32.2
Impact Management Group,33.5
Fox 12,35.8
Los Angeles Times,37
Las Vegas Review Journal,37.2
Economist,38.4
American Insights,39.5
Fox 8,42.9
Sun Times,44
Reason,44.4
Associated Industries of Florida,44.8
KSDK,45.3
WCAX,45.8
Charleston Daily Mail,46.1
Arizona Republic,46.7
Philadelphia Inquirer,46.8
East Tennessee State University,48
Mass Insight Survey Research Group/Opinion Dynamics,48.8
Argus Leader/KELO TV,48.9
KFI/NBC 4,49.1
Fort Hays St University,49.2
KABC,50
WGBH,50.6
Golden State Poll,51
Honolulu Star Advertiser,51.3
Consumer Energy Alliance,51.6
Fairleigh Dickinson University,51.9
Daily Caller,52.8
Ivan Moore Research,53
University of Massachusetts,53.1
Investors Business Daily,53.6
WPRI,54.4
Rutgers University Eagleton,54.4
University of Denver,54.7
Opinion Research Corporation,55
Merrill Research International,57.7
Saint Leo University,58
The Atlantic,58.1
Cole Hargrave Snodgrass Associates,58.2
Des Moines Register/Bloomberg News,58.2
Field Poll,58.6
High Point University,59.5
YouGov,60.7
Chicago Sun Times,60.7
NBC 4 NY/Wall Street Journal,62.5
Marquette University,62.7
Albuquerque Journal,62.9
University of New Hampshire,63.1
Wisconsin Public Radio,63.1
News 7,63.2
KSN News,63.7
Denver Post,64.2
Cincinnati Enquirer/Ohio News,64.8
Washington Times,64.8
Strategies 360,64.8
Glengariff Group,64.8
Old Dominion University,64.8
Hartford Courant,64.8
Forum Communications Company,64.8
Baselice Associates,64.8
Neighborhood Research,64.8
KSNV,64.8
Virginian Pilot,64.8
Clarus Research Group,64.8
American Conservative Union,64.8
WSVN,64.8
Deseret News/KSL TV,64.8
Fox Chicago,64.8
HighGround/Moore Information Group,64.8
WWBT,64.8
Retail Association of Nevada,64.8
Inside Michigan Politcs,64.8
Secure America Now,64.8
Democracy Corps,64.8
Project New America,64.8
Esquire/Yahoo News,64.8
Christian Science Monitor/Investors Business Daily,64.8
Charlotte Observer,64.8
CNN/Time,64.8
Resurgent Republic,64.8
Castleton State College,64.8
FM3 Research,64.8
Mass Insight Survey Research Group,64.8
