pollster_list,MAAPE
Franklin Marshall College,9.7
Mellman Group,12.3
Mason Dixon,18.3
Franklin Pierce College,18.8
Belden Russonello Stewart,20.3
Northern Arizona University,24.9
Montana State University,26
RKM Research,26.1
University of New Hampshire,27.4
Market Research Institute,27.8
Research Polling Inc,28.2
Dan Jones Associates,31.9
University of Connecticut,32.8
Texas Tech University,33.2
SurveyUSA,34.8
Selzer Company,39.5
Research 2000,43.1
Zogby Analytics,48.5
Rasmussen,54
SMS,63.2
Market Research Insight,67
Feldman Group,73.2
Hamilton Beattie Staff,75.7
University of North Carolina Ashville,91.7
Anzalone Liszt Grove Research,100.5
