pollster_list,MAAPE
Public Opinion Strategies,78.5
Wirthlin Worldwide,123.5
Growth from Knowledge,124.9
Pew Research,125.5
The Harris Poll,125.7
American Viewpoint,128.7
CBS News Election Survey Unit,130.6
TechnoMetric  Institute of Policy Politics,131.6
Democracy Corps,131.7
Zogby Analytics,134.5
Princeton Survey Research Associates International,136.9
Garin Hart Yang Research Group,137.3
StrategyOne,137.3
International Communications Research,137.3
Global Strategy Group,137.4
Gallup,138.2
TNS Global,138.4
Tarrance Group/Lake Snell Perry Associates,138.9
Hart Research Associates/Market Opinion Research,140.5
Social Science Research Solutions,140.5
Opinion Dynamics,140.7
Hart Teeter,142.5
McLaughlin Associates,142.5
Research 2000,142.7
Yankelovich Partners,143
Susan Pinkus/Interviewing Service of America Inc,143.1
Marist College,144.5
University of Massachusetts,148
University of Connecticut,148
Harvard University,148.6
Fabrizio Lee Associates/McLaughlin Associates,149.9
