pollster_list,MAAPE
Harris Deville Associates,3.4
Harrison Hickman,6.4
University of Arkansas,7.2
Dittman Research,9.8
University of Massachusetts,12.3
RKM Research,12.6
Siena College,12.7
Dan Jones Associates,13.5
Wilson Research Strategies,14.6
Brown University,15.8
Greenberg McInturff,16.5
University of New Orleans,17.1
Capital Survey Research Center,17.1
Arkansas State University,17.3
Field Poll,17.4
Market Research Insight,18.3
Behavior Research Center,18.8
Research Marketing Strategies,19.3
Philadelphia Inquirer,19.7
Mansfield University,19.7
Greg Smith Associates,20.9
Gonzales Research,21.4
University of South Alabama,22.1
Merrimack College,22.6
Consumer Logic Research,22.7
Bellwether Research Consulting,24.3
Montana State University,27.2
San Jose State University,28.2
Public Policy Institute of California,29.1
University of Oregon,29.7
Southern Media and Opinion Research,30.1
Multi Quest,30.1
KELOLAND Media Group,31.3
TelOpinion Research,34.1
National Republican Senatorial Committee,34.5
WPAi,37.3
BP&B,41.1
Market  Solutions Group,41.8
SurveyUSA,42.1
Loyola University,42.1
Middle Tennessee State University,42.6
Opinion Research Corporation,42.9
Moore Information Group,43.1
Hart Research Associates/Market Opinion Research,43.9
Arizona State University,44.4
Public Opinion Strategies,44.9
Fairleigh Dickinson University,47.4
Northern Arizona University,48.3
Market Research Institute,48.9
Muhlenberg College,49.1
Belden Russonello Stewart,49.4
George Washington University,49.8
EPIC MRA,49.9
Research 2000,51.6
Rasmussen,52.7
Elway Research,52.7
Temple University,54
Strategic Marketing Services,54.4
Marist College,55.1
Mason Dixon,58.2
Critical Insights,58.8
Ayers McHenry Associates,58.8
Quinnipiac University,59.2
FM3 Research,59.5
Ciruli Associates,63.4
Columbus Dispatch,63.8
University of Connecticut,63.9
West Chester University,64.3
Ipsos,66
Market Shares Corp,67.2
Strategic Vision,67.5
American Research Group,68.1
Social Science Research Solutions,68.4
Suffolk University,69.4
Marketing Resource Group,70
Global Strategy Group,70.2
Tarrance Group/Lake Research Partners,70.2
TechnoMetric  Institute of Policy Politics,71.5
Scripps Research Center,75
Democracy Corps,77.1
St Cloud State University,78.5
InsiderAdvantage,78.5
Susan Pinkus/Interviewing Service of America Inc,79
Opinion Dynamics,81.1
Zogby Analytics,82.2
Selzer Company,82.2
Schroth Eldon Associates,82.3
Ward Research,82.4
Pew Research,83.3
CBS News Election Survey Unit,84
SMS,84
New York Times,87.6
University of North Florida,87.6
The Harris Poll,87.7
Franklin Marshall College,88.3
Gallup,89.5
Mitchell Research Communications,90.2
Sacred Heart University,90.4
Princeton Survey Research Associates International,90.9
ABT Associates,91.1
TNS Global,92.6
Hamilton Beattie Staff,95.1
Bennett Petts Normington,95.1
Oregon State University,97.5
University of Cincinnati,103
Becker Institue,105.6
Riley Research,105.9
University of New Hampshire,106.3
Hart Research Associates,110.4
University of Minnesota,110.7
Lake Snell Perry,113.9
Central Surveys,118
Public Opinion Strategies/Greenberg Quinlan Rosner,121.2
Harstead Strategy,127.5
Creators Syndicate,129.2
Research Polling Inc,131.2
Hart McInturff,134.4
Franklin Pierce College,137.5
St Norbert College,149.7
University of Wisconsin,150.5
