pollster_list,MAAPE
Rhode Island College,0.7
Market Shares Corp,4.4
Sooner Poll,6.4
St Norbert College,6.5
Ayers McHenry Associates,6.6
Mitchell Research Communications,8.5
Greg Smith Associates,9.4
University of Texas,11
University of Connecticut,11.6
TargetPoint Consulting,12.7
Middle Tennessee State University,13.8
University of South Alabama,16.8
Capital Survey Research Center,17.3
Dan Jones Associates,17.5
Critical Insights,18.3
University of Central Arkansas,19
ABT Associates,20.6
Temple University,21.8
Field Poll,23
University of Arkansas,23.8
Brown University,24
Arizona State University,25.4
University of Washington,25.6
University of Iowa,25.7
Ivan Moore Research,25.9
Edison Media Research,26.4
West Chester University,27
New York Times,28.6
Behavior Research Center,28.6
Monmouth University,29.4
Southeastern Louisiana University,29.6
Cole Hargrave Snodgrass Associates,30.1
Riley Research,30.9
Marist College,32.2
Pan Atlantic SMS Group,32.3
Ipsos,32.4
University of Minnesota,33.3
Baselice Associates,34.2
Fairleigh Dickinson University,34.8
Pew Research,35.3
Orion Strategies,35.6
Davis Hibbitts Midghall Research,37.2
TNS Global,38.5
Public Policy Institute of California,38.8
Muhlenberg College,40.5
Roanoke College,40.5
Gonzales Research,42.2
Elway Research,42.6
Democracy Corps,43.1
TechnoMetric  Institute of Policy Politics,43.2
CBS News Election Survey Unit,43.8
Hart Research Associates/Public Opinion Strategies,44.4
Growth from Knowledge,44.9
Franklin Marshall College,45.7
Financial Dynamics,47.1
St Cloud State University,47.5
Moore Information Group,48.1
Gallup,48.2
Susquehanna Polling Research,48.8
Strategies 360,49.1
Research 2000,50
Opinion Dynamics,50.6
Princeton Survey Research Associates International,51.1
Siena College,51.6
Hoffman Research,52
Texas Lyceum,52.3
Selzer Company,52.8
Northern Arizona University,53.4
Quinnipiac University,54.1
SurveyUSA,54.6
Dakota Wesleyan University,54.9
Columbus Dispatch,55.3
Mark Blankenship Enterprises,55.4
George Washington University,55.6
Fleming Associates,56.8
EPIC MRA,57.4
Opinion Research Corporation,57.7
Public Opinion Strategies/Greenberg Quinlan Rosner,57.7
Zogby Analytics,58.2
University of Wisconsin,58.4
Research Polling Inc,59
Strategic Vision,59.5
Rasmussen,60.1
RT Strategies,60.2
Tarrance Group/Lake Research Partners,60.3
Suffolk University,60.5
Rossman Group,60.7
Poll Position,60.9
Christopher Newport University,61.4
Susan Pinkus/Interviewing Service of America Inc,61.5
Mason Dixon,61.8
Public Opinion Strategies/Ridder Braden Inc Strategies Research,62.5
Cooper Secrest Associates,63.2
American Research Group,64
Zimmerman Associates,65.3
McLaughlin Associates,66.1
University of New Hampshire,69.5
Ciruli Associates,72.7
Public Policy Polling,74
University of Cincinnati,75
Mike Downs Center for Indiana Politics Purdue University,76.3
Marketing Resource Group,86.9
Minnesota State University Moorhead,88.8
Virginia Commonwealth University,89.8
Winthrop University,91.7
Dartmouth College,92
DFM Research,93.1
SEA Polling Strategic Design,101.3
Schroth Associates/The Polling Company,104.3
InsiderAdvantage,109.3
Florida Chamber Political Institute,112.1
Kitchens Group Research,112.1
Gauge Market Research,123
Montana State University,123
TelOpinion Research,139.6
Marshall Marketing,141.9
Indiana Legislative Insight,145.1
