pollster_list,MAAPE
University of Maryland,2.6
Illinois Wesleyan University,15.4
Opinion Research Corporation,29.4
Chicago Tribune,38.8
Ward Research,39.7
Field Poll,40.5
Research 2000,42.7
Selzer Company,43.4
St Catherine University,45.9
Schroth Associates/The Polling Company,48.8
Florida Voter,48.8
St Cloud State University,55.5
Mason Dixon,56.4
Princeton Survey Research Associates International,60
Zogby Analytics,60.9
Gonzales Research/Arscott Research Communications,63.9
Quinnipiac University,67.7
Susan Pinkus/Interviewing Service of America Inc,69.7
Suffolk University,73.2
KRC Communications Research,74.1
SurveyUSA,76.4
Market Trends Pacific,78.5
Public Policy Institute of California,80.5
Harvard University,86.9
Gallup,98.3
RKM Research,114.8
Behavior Research Center,123.2
EPIC MRA,132.3
Analytical Group,132.6
Ayers McHenry Associates,132.6
Free Press,134
Arizona State University,142.9
McLaughlin Associates,148
USA Polling Group,151.8
University of Alabama Birmingham,154.5
