pollster_list,MAAPE
OnSight Public Affairs/Keating Research,3.6
Hendrix College,5.3
Pan Atlantic SMS Group,5.3
Braun Research Group,6.7
JMC Analytics,9.7
Western New England University,13
University of Southern California,13
Muhlenberg College,13.3
Keating Research/Magellan Strategies Polling,15.5
University of Massachusetts Lowell,15.9
Anderson Robbins Research/Shaw Company Research,17.1
OH Predictive Insights,17.3
Franklin Marshall College,17.6
MassINC Polling Group,18.8
Texas Lyceum,20
University of California Berkeley,20.1
Southern Illinois University,21.8
University of Texas,25.1
Gonzales Research,26.2
Mitchell Research Communications,27.5
University of Arkansas,28
EPIC MRA,28
University of Maryland,28.1
Goucher College,30
Magellan Strategies,31.1
Target Insyght,31.2
Public Policy Institute of California,32.5
Riley Research,33.2
Research Polling Inc,37.8
We Ask America,38.1
Glengariff Group,38.3
East Tennessee State University,39.3
Landmark Communication,40.5
Vanderbilt University,43.4
Mellman Group,43.4
Mason Dixon,44.8
Cole Hargrave Snodgrass Associates,46.7
Siena College,48.7
Thomas Partners Strategies,49.2
Alaska Survey Research,50.7
Hoffman Research,52
Marist College,54.8
Roger Williams University,55.1
SurveyUSA,55.6
YouGov,56.9
Emerson College,57.1
Marketing Resource Group,57.4
Carroll Strategies,57.5
Dixie Strategies,58.4
Davis Hibbitts Midghall Research,61.9
Suffolk University,64.2
University of Georgia,65.9
Remington Research,66.1
Social Science Research Solutions,66.5
Quinnipiac University,70.6
Sacred Heart University,73.9
Sooner Poll,74.2
University of New Hampshire,75.6
Clout Research,77.9
Gravis Marketing,87.3
Public Policy Polling,88.5
HarrisX,88.7
Rasmussen,89.9
Opinion Savvy,91.4
Marquette University,97.7
Selzer Company,103
Trafalgar Group,110.2
University of Iowa,116.6
Strategic Research Associates,135.5
Fextel Inc,136.4
Florida Atlantic University,144.3
University of North Florida,149.4
