pollster_list,MAAPE
University of Southern California,5.7
Columbus Dispatch,6.1
WPAi,6.4
Public Policy Institute of California,9.2
Field Poll,10.9
Loras College,11.1
Cole Hargrave Snodgrass Associates,12.1
Research Polling Inc,20.7
Remington Research,22.7
Voter Survey Service,23.2
Sooner Poll,23.3
University of Houston,25.9
Selzer Company,26.2
Lambert Edwards Associates/Denno Research,27.8
Winthrop University,30.5
Fleming Associates,32.2
Elway Research,35.7
Mitchell Research Communications,40.4
University of Arkansas,41.2
University of Texas,41.2
Harper Polling,42.6
Nielson Brothers Polling,42.8
Marquette University,46.7
Mercyhurst University,48.8
Magellan Strategies,49.2
Vanguard Public Affairs/Denno Research,50.7
QMark Research,51.7
Opinion Savvy,51.9
Texas Lyceum,52.8
YouGov,53.4
Muhlenberg College,53.6
Mason Dixon,55.3
Saint Leo University,55.9
Marketing Resource Group,57.2
New England College,57.8
Glengariff Group,58.8
Hendrix College,59.6
Marist College,60.3
Rasmussen,61.2
Pan Atlantic SMS Group,62.2
EPIC MRA,63.8
Target Insyght,65.1
Southern Illinois University,67
Public Policy Polling,69.2
Ipsos,69.4
Anderson Robbins Research/Shaw Company Research,70.3
Sand Mountain Communications,71.4
Impact Management Group,72.5
Quinnipiac University,73.7
SurveyUSA,74.8
Vox Populi Polling,74.8
New York Times/Kaiser Family Foundation,74.8
Franklin Marshall College,75.3
Critical Insights,75.4
Hickman Analytics,75.7
Opinion Research Corporation,76.5
Landmark Communication,79.3
Brown University,81.3
University of Massachusetts Lowell,82
We Ask America,83.6
Suffolk University,84.6
American Research Group,85.6
Behavior Research Center,86.3
St Norbert College,87.7
APC Research Inc,90.2
ABT Associates,92.1
Davis Hibbitts Midghall Research,93.4
University of Florida,95.6
Gonzales Research,95.9
University of Massachusetts Amherst,96.8
Siena College,97.4
Maine Peoples Resource Center,99.3
University of New Hampshire,102
Western New England University,111.4
Emerson College,113.7
MassINC Polling Group,117.7
OpinionWorks,118.9
Mass Insight Survey Research Group/Opinion Dynamics,120.1
Dartmouth College,125.3
University of North Florida,139.2
Purple Strategies,141.2
University of Massachusetts,142.5
