pollster_list,MAAPE
Middle Tennessee State University,2.3
Greenberg Quinlan Rosner,3.8
CBS News Election Survey Unit,10.2
Constituent Dynamics,12.7
University of Arkansas,12.7
Marist College,14.6
Potomac Research Group,15.2
Schroth Associates/The Polling Company,15.4
Siena College,18.6
Research Polling Inc,18.6
Abacus Data Polling,19.7
West Chester University,19.9
University of Connecticut,20.6
Northern Arizona University,21
Temple University,22.1
Behavior Research Center,24.5
University of New Hampshire,24.8
Opinion Research Corporation,24.8
Davis Hibbitts Midghall Research,25
Ciruli Associates,25.7
Public Policy Institute of California,26.5
Columbus Dispatch,27.7
Franklin Marshall College,28.9
Market Shares Corp,29
Gonzales Research,29.7
Garin Hart Yang Research Group,30.9
Opinion Consultants,31.7
University of South Alabama,31.8
Quinnipiac University,32
Research 2000,33.3
Datamar Analytics,34.6
St Norbert College,35
Muhlenberg College,35.2
SurveyUSA,36.2
Suffolk University,38.4
Polimetrix,38.8
University of Cincinnati,39.2
Portland Research Group,40.5
Arizona State University,42
Strategic Vision,43.1
Gallup,44.6
Public Opinion Strategies,44.8
Selzer Company,45.8
Glengariff Group,45.8
Field Poll,48.2
Richard Day Research,48.3
Mason Dixon,48.4
Rasmussen,50.1
San Jose State University,51.5
American Research Group,52.2
Zogby Analytics,52.7
University of Southern Alabama,52.7
Susan Pinkus/Interviewing Service of America Inc,53.5
University of Akron,54.7
University of Wisconsin,55.2
Mansfield University,55.2
State House News,55.7
EPIC MRA,56
Dittman Research,57.7
Riley Research,61.9
Potomac Inc,70.2
Marketing Resource Group,70.9
TNS Global,73.2
Ivan Moore Research,73.3
Pew Research,74.1
McLaughlin Associates,77.1
CRG Research,78.5
Moore Information Group,78.5
Hart Research Associates,78.5
University of Massachusetts,78.5
Mitchell Research Communications,82
Grove Insight,83.2
Blum Weprin Associates,84.3
Cooper Secrest Associates,86.5
Critical Insights,87.9
Goodwin Simon,88.9
Victory Enterprises,92.2
Strategic Marketing Services,92.9
Opinion Analysts,96.6
Cromer Associates,99.3
Clemson University,101.8
Greg Smith Associates,102.3
KRC Communications Research,107.7
Princeton Survey Research Associates International,109.2
University of Minnesota,133.9
Brown University,137.3
Rhode Island College,140.6
St Cloud State University,148
