pollster_list,MAAPE
American Research Group,7
Minnesota State University Moorhead,8
Indiana Legislative Insight,9.6
University of New Hampshire,16.7
Dan Jones Associates,18.3
Suffolk University,22
Mason Dixon,24.4
Gauge Market Research,24.5
University of Washington,33.2
Selzer Company,33.8
Public Policy Polling,43.4
Rasmussen,43.7
Marshall Marketing,45.1
SurveyUSA,49.4
Research 2000,50.5
Elway Research,54
Growth from Knowledge,54.6
Strategic Vision,54.8
TelOpinion Research,58.8
Democracy Corps,78.5
Moore Information Group,78.5
